comment,replies,user_name,date,likes
porque todos los comentarios son a favor de kaiser? borran comentarios?,[],@smoothie2095,2025-11-22T00:39:49Z,0
"brigido como el miedo y el sueño de ser el jefe de alguien mas, mantenga un sector economico que simplemente ya no se puede mantener....quizas podamos mantenernos bien con un sistema como el noruego, tenemos nuestro propio boleto de loteria con la cantidad de litio que exportamos asi que toca manejar bien este milagro que se nos dio",[],@las24horasdeldiaenytporque70,2025-11-21T06:03:37Z,0
"Johannes el mejor, fuera de serie",[],@DonBerna88,2025-11-20T15:52:51Z,0
"Johannes Kaiser si te quieres referir a EEUU respecto a la Alemania Nazi tendrías que decir  la alianza: EEUU, Francia y Inglaterra así son Libertarios mentirosos y siempre tergiversando la realidad , por que los primeros que entraron a Berlín fueron los soviéticos",[],@saulrubenmancillaizarra1205,2025-11-20T02:37:52Z,0
Primer fragmento (00:21:25),['Segundo fragmento (00:34:23)'],@AbrahamQuirozOyarzún,2025-11-20T02:34:03Z,0
todos valen callampa,[],@soibiengey,2025-11-17T18:26:32Z,1
Mis mejores deseos a los chilenos en estas elecciones y espero que puedan votar según lo que crean mejor para su país. ¡Saludos desde Argentina! 🇦🇷🇨🇱,[],@selenavillegas1347,2025-11-17T00:59:33Z,0
Todos son títeres de la élite. Chile laboratorio del globalismo 🐑🐑🐑🐑💉💉💉💉,[],@PERSERMEX,2025-11-16T20:50:54Z,0
En Rio de janeiro no encontraron ni un líder y lá polícia no ocupo El território. Mitad de Las perrsonas muertas eran personas inocentes. El estado de rio Quito El território dele tráfico y se Las entrego a Las milícias,[],@matiasgonzalovelasquezarmi9784,2025-11-16T19:18:37Z,0
"Kaiser el mejor, NOTABLEEE!!",[],@Elalmaseconoceporsusactos,2025-11-16T18:26:56Z,0
"Marco Enriques, Tiene Buenas Ideas pero enseñenle a hablar pliiis💥, Se atropeya a si mismo hablando, so comunicara mejor estoy seguro que convenceria mas🫶🏻",[],@astygames,2025-11-16T17:13:21Z,0
"Jarol apoya el aborto y después dice que chile no quiere tener hijos, quiere natalidad pero apoya el aborto",['igual na q ver la wea q estas comparando wn xd'],@wladimirtromilen848,2025-11-16T06:06:30Z,0
Ya pero la Matthei diciendo que maduro no es presidente ya que es un dictador (apoyo) pero por detrás apoyando al ctm de Pinochet que fue exactamente lo mismo🤪🤪🤪si pasaba a 2da vuelta ella con la Jara pensaba votar por ella pero con esto se me cayó totaaaal,[],@camilaa_21a79,2025-11-16T05:55:16Z,0
😊,[],@Aby4054,2025-11-16T05:07:52Z,0
"Es muy insensible la forma en la que se refieren a los detenidos desaparecidos. No son ""cajas de restos"". Aún así ahí va Matthei, la más racional de la derecha",[],@pablosebastianmanriquezgut9767,2025-11-16T00:05:45Z,1
Esa inteligencia artificial que dijo q Nicholls es de centro hay q calibrarla😂,[],@acunamg4793,2025-11-15T23:47:30Z,0
1:42:00  que no se olviden del apagón que hubo en España por la energía solar,[],@HamdanLeonardo,2025-11-15T22:41:13Z,0
"1:23:56 me encanta lo de subir el salario mínimo y con 750k de pesos, seguirán siendo los casi 400 usd que lleva desde hace hace 15 años.. luego Grau, dice que no importa el dólar, ya que el chileno tiene pesos",[],@HamdanLeonardo,2025-11-15T22:01:09Z,0
2:30:21,[],@belteffects,2025-11-15T21:16:28Z,0
Matamala: Tienes la mandíbula más dura que Scarface 😬,[],@HamdanLeonardo,2025-11-15T21:16:10Z,0
"56:13 Despenizar 😂 ya no habrán nepes 😂, cagamos ☠️",[],@HamdanLeonardo,2025-11-15T21:09:26Z,0
Mañana es la votación y si de verdad quieren un cambio positivo en el país. Voten por Parisi.,[],@Sarz7cvx,2025-11-15T20:42:08Z,0
Johannes Káiser nuestro próximo Presidente de Chile 🎉🎉🎉🎉🎉🎉🎉🎉🎉,[],@MaryVilla777,2025-11-15T14:26:12Z,0
Ominamiiiii,[],@loretocaro9519,2025-11-15T12:14:06Z,0
Que manera de hablar weas ese che copete,[],@Nicolas_Xnix,2025-11-15T12:07:30Z,0
"Yo quería ver el debate, no las conclusiones o conversaciones entre los periodistas",[],@MagdalenaBülowRodríguez,2025-11-15T11:59:52Z,0
"No me gusta ninguno, es la peor lista de candidatos que Chile ha tenido en los últimos años",[],@MagdalenaBülowRodríguez,2025-11-15T11:59:15Z,0
"El señor Ominami está defendiendo la vida, por éso está a favor del aborto.  Es qué. ???",[],@mariahormzabal5154,2025-11-15T11:41:22Z,0
"Como cubano que vivió el comunismo, como expatriado que ha vivido en la social democracia de Europa y en el capitalismo mas puro de USA, les aconsejo a solo un Hombre : Kaiser. Para aquellos que dudan, piénselo de esta manera : Kast es mas de lo mismo que hemos visto, un político que solo quiere continuidad sin cambios importantes, Matthei no tiene carácter y de Jara poco que decir ya siendo comunista. Vota 4K",[],@django_chained,2025-11-15T11:20:46Z,1
Fuera el comunismo,[],@thelmaruiz7215,2025-11-15T09:29:38Z,0
1:50:05 el mejor momento ever 😂,[],@elblitzb,2025-11-15T04:50:36Z,0
Kaiser presidente 💪,[],@Un_Hombre_Libre,2025-11-15T04:21:56Z,0
Michael Dudikoff y Robert De Niro como candidatos presidenciales tienen más coherencia que esos 8 mediocres 😂😂😂,[],@_1.9.7.4,2025-11-15T02:51:02Z,1
Qué tanto escribe Jara?....es un pseudo debate (esto no es debate)....no una prueba,[],@pamela8951,2025-11-14T17:30:33Z,0
Entre parisi y kaiser,[],@manuelvega7224,2025-11-14T15:50:31Z,0
"El artículo 1 de la Constitución Política de Chile establece que las personas nacen libres e iguales en dignidad y derechos, y que la familia es el núcleo fundamental de la sociedad. También declara que Chile es un Estado social y democrático de derecho, reconociendo el deber del Estado de promover, proteger y respetar los derechos humanos.",[],@manuelvega7224,2025-11-14T15:09:30Z,0
Pero si la pildora t la dan en el sapu,[],@manuelvega7224,2025-11-14T15:05:53Z,0
"Que mentirosos estos tipos de la izquierda , que manera de mentirnos . 
Basta !!!🤦‍♀️. Chile 🇨🇱 debe ser un gran país . Vamos kayser 💪, queremos un cambio . Vota mirando a un futuro bendecido .",[],@carolinasilvarecabarren8746,2025-11-14T11:10:43Z,0
Kaiser 🎉 Presidente 2026 🎉,[],@J.1990.M,2025-11-14T11:09:48Z,0
"Quiero lo mejor para mi país , seamos capaces de discernir lo real y verdadero , de lo ficticio y engañoso.",[],@carolinasilvarecabarren8746,2025-11-14T11:06:07Z,0
"NO le creo a jara , es una comunista integra. No hay peor ser humano que reniega de sus creencias . Mentirosa , y falsa. 
Al que más le creo es a kast , y también al Sr kayser. 
La Sra mathei pobrecita , me da pena . 
Los demás , no tengo tiempo para mal gastar. 
Vamos chile !!! 🇨🇱 viva 🇨🇱 chile!!!",[],@carolinasilvarecabarren8746,2025-11-14T11:02:22Z,0
PARISI 🇨🇱,[],@nicolasurrutiaquezada3937,2025-11-14T07:46:52Z,0
"No tengo áinmo de revisar los comentarios.  Pero, los periodistas claramente no estuvieron a la altura de un Mosciatti. Y estoy claro que, Mosciatti no es periodista pero en la elección anterior ""puta que hizo arar a los candidatos "".😂😂😂😂😂😂😂😂",[],@LexTalionis18,2025-11-14T06:04:19Z,0
KAISER SIEMPRE CAGANDO FUERA DEL TIESTO..,[],@jaimesantelices1916,2025-11-14T04:24:52Z,0
"1:49:50 Artés educando a Jara sobre economía y la reacción de Kaiser 1:50:08, oro puro 😂
3:04:44 Momento de la noche⚘️ y reacción de Matamala y Matthei 3:05:03 y coronado con la flor en el escote 3:07:32. Esto es cine 🚬",['Mejor comentario 😂 jajaa gracias por la lista 🍻'],@nataliemunoz8600,2025-11-14T04:21:21Z,3
Janette jara está obsesionada con el secreto bancario 🫣,[],@millarayhuenchunvaldes,2025-11-14T04:09:05Z,0
Vieron como a jara le soplaban respuestas por em audífono y el reloj?,[],@user-mk3hp4hk4k,2025-11-14T01:43:32Z,0
"Que basura de preguntas por parte de los periodistas, y se creen lo mejor de Chile jajaj",[],@caburtosepulveda,2025-11-14T01:02:39Z,2
A las 5.30 de la mañana jajaj es una canción jajja😅,[],@fabiolasgm33,2025-11-14T00:54:43Z,1
"Parici, Meo, Artes responden lo mínimo, como los mínimos de votos que tendrán y que los mantendrán un buen tiempo. Reflejo de gente mediocre y Meo no se cansa él....",[],@fabiolasgm33,2025-11-14T00:50:45Z,2
"Que aya dicho que maduro es un dictador,me convenció,mi voto es para Marco❤",[],@RosarioAndrade-w9c,2025-11-13T22:58:22Z,2
